Year,Length_Category,Sector,Gear,Region,SAUP,NV,GT,P,NVActive,GTActive,PActive,NomActive,NVerr,Perr,GTerr,RActivity,MethodNV,MethodLOA,MethodGT,MethodP,Country,EffActive
1979,12-24m,APW,Dredges,NorthAmerica,124,1,15.97769,151.8389,0.9253303,14.784640681007,140.50113488867,28584.10069821,0.01121457,0.000227083,0.001651927,0.9253303,GAM,Data,LOA,AIC,CAN,140114.254502677
1980,12-24m,APW,Dredges,NorthAmerica,124,1,15.98085,151.8389,0.9253303,14.787564724755,140.50113488867,28584.10069821,0.03066195,0.000227083,0.001651817,0.9253303,GAM,Data,LOA,AIC,CAN,147274.092907764
1981,12-24m,APW,Dredges,NorthAmerica,124,1,15.97682,151.8389,0.9253303,14.783835643646,140.50113488867,28584.10069821,0.0310379,0.000227083,0.001650887,0.9253303,GAM,Data,LOA,AIC,CAN,154799.799055351
1982,12-24m,APW,Dredges,NorthAmerica,124,1,15.97192,151.8389,0.9253303,14.779301525176,140.50113488867,28584.10069821,0.03142192,0.000227083,0.001650061,0.9253303,GAM,Data,LOA,AIC,CAN,162710.068787079
1983,12-24m,APW,Dredges,NorthAmerica,124,1,15.97733,151.8389,0.9253303,14.784307562099,140.50113488867,28584.10069821,0.03046863,0.000227083,0.001651196,0.9253303,GAM,Data,LOA,AIC,CAN,171024.553302099
1984,12-24m,APW,Dredges,NorthAmerica,124,1,15.97831,151.8389,0.9253303,14.785214385793,140.50113488867,28584.10069821,0.0304072,0.000227083,0.001651404,0.9253303,GAM,Data,LOA,AIC,CAN,179763.907975836
1985,12-24m,APW,Dredges,NorthAmerica,124,1,15.98116,151.8389,0.9253303,14.787851577148,140.50113488867,28584.10069821,0.03041123,0.000227083,0.00165154,0.9253303,GAM,Data,LOA,AIC,CAN,188949.843673401
1986,12-24m,APW,Dredges,NorthAmerica,124,1,15.98406,151.8389,0.9253303,14.790535035018,140.50113488867,28584.10069821,0.02996417,0.000227083,0.001652244,0.9253303,GAM,Data,LOA,AIC,CAN,198605.180685112
1987,12-24m,APW,Dredges,NorthAmerica,124,1,15.98289,151.8389,0.9253303,14.789452398567,140.50113488867,28584.10069821,0.02956237,0.000227083,0.001652015,0.9253303,GAM,Data,LOA,AIC,CAN,208753.905418121
1988,12-24m,APW,Dredges,NorthAmerica,124,1,15.98427,151.8389,0.9253303,14.790729354381,140.50113488867,28584.10069821,0.0292518,0.000227083,0.00165205,0.9253303,GAM,Data,LOA,AIC,CAN,219421.229984987
1989,12-24m,APW,Dredges,NorthAmerica,124,1,15.98378,151.8389,0.9253303,14.790275942534,140.50113488867,28584.10069821,0.02922359,0.000227083,0.001652094,0.9253303,GAM,Data,LOA,AIC,CAN,230633.65483722
1990,12-24m,APW,Dredges,NorthAmerica,124,1,15.98333,151.8389,0.9253303,14.789859543899,140.50113488867,28584.10069821,0.02922486,0.000227083,0.001651818,0.9253303,GAM,Data,LOA,AIC,CAN,242419.034599402
1991,12-24m,APW,Dredges,NorthAmerica,124,1,15.98916,151.8389,0.9253303,14.795254219548,140.50113488867,28584.10069821,0.02817464,0.000227083,0.001652408,0.9253303,GAM,Data,LOA,AIC,CAN,254806.647267432
1992,12-24m,APW,Dredges,NorthAmerica,124,1,15.9866,151.8389,0.9253303,14.79288537398,140.50113488867,28584.10069821,0.02802927,0.000227083,0.001651954,0.9253303,GAM,Data,LOA,AIC,CAN,267827.266942797
1993,12-24m,APW,Dredges,NorthAmerica,124,1,15.98518,151.8389,0.9253303,14.791571404954,140.50113488867,28584.10069821,0.02766943,0.000227083,0.001651932,0.9253303,GAM,Data,LOA,AIC,CAN,281513.240283574
1994,12-24m,APW,Dredges,NorthAmerica,124,1,15.98726,151.8389,0.9253303,14.793496091978,140.50113488867,28584.10069821,0.02703947,0.000227083,0.001652244,0.9253303,GAM,Data,LOA,AIC,CAN,295898.566862065
1995,12-24m,APW,Dredges,NorthAmerica,124,1,15.98906,151.8389,0.9253303,14.795161686518,140.50113488867,28584.10069821,0.02647974,0.000227083,0.001652517,0.9253303,GAM,Data,LOA,AIC,CAN,311018.983628716
1996,12-24m,APW,Dredges,NorthAmerica,124,1,15.99088,151.8389,0.9253303,14.796845787664,140.50113488867,28584.10069821,0.02611448,0.000227083,0.001652112,0.9253303,GAM,Data,LOA,AIC,CAN,326912.053692144
1950,6-12m,APW,Dredges,NorthAmerica,124,2,5.493912,43.26398,1.281461,3.520116982716,27.72055153739,5683.7581606835,0.01414607,0.04160505,0.1248048,0.6407305,GAM,Data,LOA,AIC,CAN,5763.10123523137
1951,6-12m,APW,Dredges,NorthAmerica,124,2,5.494114,43.15923,1.281461,3.520246410277,27.653435017515,5669.995910274,0.01713504,0.04170603,0.1247956,0.6407305,GAM,Data,LOA,AIC,CAN,5833.62247140881
1952,6-12m,APW,Dredges,NorthAmerica,124,2,5.49433,43.05566,1.281461,3.520384808065,27.58707455963,5656.3899981065,0.0204256,0.04180635,0.1247858,0.6407305,GAM,Data,LOA,AIC,CAN,5883.35418430551
1953,6-12m,APW,Dredges,NorthAmerica,124,2,5.493916,42.95444,1.281461,3.520119545638,27.52221981842,5643.091636579,0.02351892,0.04190487,0.1248046,0.6407305,GAM,Data,LOA,AIC,CAN,5963.50936039742
1954,6-12m,APW,Dredges,NorthAmerica,124,2,5.494109,42.85666,1.281461,3.5202432066245,27.45956919013,5630.2469122455,0.02679628,0.04200047,0.1247958,0.6407305,GAM,Data,LOA,AIC,CAN,6079.67610664329
1955,6-12m,APW,Dredges,NorthAmerica,124,2,5.494185,42.76319,1.281461,3.5202919021425,27.399680110295,5617.9666714825,0.03015978,0.04209228,0.1247923,0.6407305,GAM,Data,LOA,AIC,CAN,6262.80480294035
1956,6-12m,APW,Dredges,NorthAmerica,124,2,5.493694,42.67402,1.281461,3.519977303467,27.34254617161,5606.252195751,0.03339741,0.04218023,0.1248147,0.6407305,GAM,Data,LOA,AIC,CAN,6468.30769624927
1957,6-12m,APW,Dredges,NorthAmerica,124,2,5.49435,42.58778,1.281461,3.520397622675,27.28728957329,5594.9234397805,0.0365852,0.04226564,0.1247848,0.6407305,GAM,Data,LOA,AIC,CAN,6735.29608583692
1958,6-12m,APW,Dredges,NorthAmerica,124,2,5.49442,42.50159,1.281461,3.52044247381,27.232065011495,5583.5991689235,0.03966658,0.04235136,0.1247817,0.6407305,GAM,Data,LOA,AIC,CAN,7061.50997008293
1959,6-12m,APW,Dredges,NorthAmerica,124,2,5.494175,42.41096,1.281461,3.5202854948375,27.17399560628,5571.6931147725,0.04263344,0.04244186,0.1247928,0.6407305,GAM,Data,LOA,AIC,CAN,7465.87960695505
1960,6-12m,APW,Dredges,NorthAmerica,124,2,5.493858,42.31035,1.281461,3.520082383269,27.109531710675,5558.4761260185,0.04549156,0.04254278,0.1248072,0.6407305,GAM,Data,LOA,AIC,CAN,8441.46420530249
1961,6-12m,APW,Dredges,NorthAmerica,124,3,12.980219,84.67381,1.9221915,8.3168222099795,54.253092618205,11107.3163060475,0.0482301133333333,0.0318870683771416,0.0562512252225652,0.6407305,GAM,Data,LOA,AIC,CAN,19307.9086291458
1962,6-12m,APW,Dredges,NorthAmerica,124,3,12.979406,84.62578,1.9221915,8.316301296083,54.22231833229,11100.973714828,0.05087189,0.0319051660006348,0.0562579341353791,0.6407305,GAM,Data,LOA,AIC,CAN,20731.8740542954
1963,6-12m,APW,Dredges,NorthAmerica,124,3,12.979414,83.84889,1.9221915,8.316306421927,53.724541214145,10999.1558718035,0.0534283866666667,0.0322007881026582,0.0562571439337888,0.6407305,GAM,Data,LOA,AIC,CAN,21601.5336765385
1964,6-12m,APW,Dredges,NorthAmerica,124,2,10.233174,63.05604,1.281461,6.556706693607,40.40192803722,8267.4206069685,0.05868346,0.0285460360215722,0.0378511840554596,0.6407305,GAM,Data,LOA,AIC,CAN,16866.2637378836
1965,6-12m,APW,Dredges,NorthAmerica,124,2,10.232534,61.91071,1.281461,6.556296626087,39.668080173655,8117.3679311735,0.053898735,0.0290741336272125,0.0378551024860577,0.6407305,GAM,Data,LOA,AIC,CAN,16922.2341405493
1966,6-12m,APW,Dredges,NorthAmerica,124,2,10.232323,61.58062,1.281461,6.5561614319515,39.45658144291,8074.0942746645,0.06528829,0.0292299749118668,0.0378579393342857,0.6407305,GAM,Data,LOA,AIC,CAN,17915.9438127013
1967,6-12m,APW,Dredges,NorthAmerica,124,2,10.232502,61.46044,1.281461,6.556276122711,39.37957845142,8058.3130824495,0.06884362,0.029287131495863,0.0378565611988931,0.6407305,GAM,Data,LOA,AIC,CAN,19083.6143960993
1968,6-12m,APW,Dredges,NorthAmerica,124,1,2.747252,20.48525,0.6407305,1.760248147586,13.125524475125,2691.2276418945,0.07242261,0.04393405,0.1247778,0.6407305,GAM,Data,LOA,AIC,CAN,6831.896267328
1969,6-12m,APW,Dredges,NorthAmerica,124,1,2.74725,20.37619,0.6407305,1.760246866125,13.055646406795,2676.8996264535,0.07594043,0.0441692,0.1247781,0.6407305,GAM,Data,LOA,AIC,CAN,7325.19145540396
1970,6-12m,APW,Dredges,NorthAmerica,124,1,2.747039,20.2634,0.6407305,1.7601116719895,12.9833784137,2662.082733641,0.07458543,0.04441505,0.1247972,0.6407305,GAM,Data,LOA,AIC,CAN,7958.5487588777
1971,6-12m,APW,Dredges,NorthAmerica,124,1,2.746976,20.14642,0.6407305,1.760071305968,12.90842575981,2646.7135311375,0.07762764,0.04467295,0.1248029,0.6407305,GAM,Data,LOA,AIC,CAN,8707.88001355247
1972,6-12m,APW,Dredges,NorthAmerica,124,1,2.74686,20.02358,0.6407305,1.75999698123,12.82971842519,2630.5760927645,0.06405278,0.04494701,0.1248135,0.6407305,GAM,Data,LOA,AIC,CAN,9097.0462663412
1973,6-12m,APW,Dredges,NorthAmerica,124,1,2.74716,19.89275,0.6407305,1.76018920038,12.745891653875,2613.3878563715,0.06174227,0.04524262,0.1247862,0.6407305,GAM,Data,LOA,AIC,CAN,9499.4276513687
1974,6-12m,APW,Dredges,NorthAmerica,124,1,2.746892,19.75186,0.6407305,1.760017484606,12.65561913373,2594.8784336875,0.05708369,0.04556533,0.1248105,0.6407305,GAM,Data,LOA,AIC,CAN,9914.13032127184
1975,6-12m,APW,Dredges,NorthAmerica,124,1,2.747003,19.59946,0.6407305,1.7600886056915,12.55797180553,2574.857527754,0.05670968,0.04591964,0.1248005,0.6407305,GAM,Data,LOA,AIC,CAN,10340.3406554086
1976,6-12m,APW,Dredges,NorthAmerica,124,1,2.74686,19.43448,0.6407305,1.75999698123,12.45226408764,2553.1835371305,0.05669298,0.04630945,0.1248135,0.6407305,GAM,Data,LOA,AIC,CAN,10777.2439730614
