Title,Artist,Nationality,Gender,Date,Medium,Classification,Department,DateAcquired,Height (cm),Width (cm)
"City of Music, National Superior Conservatory of Music and Dance, Paris, France, View from interior courtyard",Christian de Portzamparc,(French),(Male),1987,Paint and colored pencil on print,Architecture,Architecture & Design,1/17/95,40.6401,29.8451
"Urban projects for Montevideo and São Paulo, Brazil. Aerial perspectives",Le Corbusier (Charles-Édouard Jeanneret),(French),(Male),1929,Ink on paper,Architecture,Architecture & Design,11/18/85,27,16.5
"Spatial City, project, Aerial perspective",Yona Friedman,(French),(Male),1958,Ink on tracing paper,Architecture,Architecture & Design,10/31/00,21.3,27.3
"African Proposals, project, Perspective",Yona Friedman,(French),(Male),1959,Ink and watercolor on tracing paper,Architecture,Architecture & Design,10/31/00,48.3,64.5
"Plans for Algiers and Barcelona and “cité-jardin verticale” (vertical garden city) drawing made during a lecture in Chicago November 27, 1935",Le Corbusier (Charles-Édouard Jeanneret),(French),(Male),1935,Pastel on paper,Architecture,Architecture & Design,3/22/76,101,278.1
"Cartier Foundation for Contemporary Art, Paris, France, Elevation",Jean Nouvel,(French),(Male),1992-93,Screenprint drawings on Plexiglass,Architecture,Architecture & Design,9/25/96,49.8476,90.1702
Parabolic Spotlight with Base (model 33267),Roger Tallon,(French),(Male),1972,Die-cast zinc and synthesized material housing and cast aluminum base,Design,Architecture & Design,9/24/01,64.7701,
Sandows Chair,René Herbst,(French),(Male),1928,Nickel-plated steel tube and elastic rubber cord,Design,Architecture & Design,1/19/00,66,43.2
Vicieuse Coffee Table,Philippe Starck,(French),(Male),1992,Polished die-cast aluminum and maple plywood with malamine formaldehyde laminate,Design,Architecture & Design,1/19/00,73.0251,
Ara Table Lamp,Philippe Starck,(French),(Male),1988,Polished chrome,Design,Architecture & Design,1/19/00,56.2,23.5
Ara Table Lamp,Philippe Starck,(French),(Male),1988,Polished chrome,Design,Architecture & Design,1/19/00,56.1976,23.495
Ara Table Lamp,Philippe Starck,(French),(Male),1988,Polished chrome,Design,Architecture & Design,1/19/00,56.2,23.5
Bubu 1er,Philippe Starck,(French),(Male),1991,Injection-molded polypropylene,Design,Architecture & Design,1/19/00,43.8,
Bubu 1er,Philippe Starck,(French),(Male),1991,Injection-molded polypropylene,Design,Architecture & Design,1/19/00,43.8151,
Bubu 1er,Philippe Starck,(French),(Male),1991,Injection molded polypropylene,Design,Architecture & Design,1/19/00,43.8,
Ceci N'est Pas une Truelle Cake Server,Philippe Starck,(French),(Male),1996,Stainless steel and maple,Design,Architecture & Design,1/19/00,6.985,7.9
Chab Wellington Coat Hook,Philippe Starck,(French),(Male),1987,Polished aluminum,Design,Architecture & Design,1/19/00,12.7,5.08
Coo Coo Radio Alarm-clock,Philippe Starck,(French),(Male),1996,ABS plastic,Design,Architecture & Design,1/19/00,22.2,9.8
Dadada Stool,Philippe Starck,(French),(Male),1993,Injection-molded polypropylene,Design,Architecture & Design,1/19/00,50.8,32.4
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),1996,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20.6375,3.81
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),1996,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20.6375,3.81
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),1996,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20.6375,3.81
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),1996,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20.6375,3.81
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),1996,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20.6375,3.81
Dr. No Chair,Philippe Starck,(French),(Male),1996,"Solid-dyed polypropylene, aluminum, and epoxy polyester or natural finish",Design,Architecture & Design,1/19/00,47.7,46.2
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),1998,Thermoplastic resin,Design,Architecture & Design,1/19/00,43.8,9.2075
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),1998,Thermoplastic resin,Design,Architecture & Design,1/19/00,43.8151,9.2075
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),1998,Thermoplastic resin,Design,Architecture & Design,1/19/00,43.8,9.2075
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),1998,Thermoplastic resin,Design,Architecture & Design,1/19/00,43.8,9.2075
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),1998,Thermoplastic resin,Design,Architecture & Design,1/19/00,43.8,9.2075
Excalibur Toilet Brush,Philippe Starck,(French),(Male),1993,Polypropylene and nylon,Design,Architecture & Design,1/19/00,41.9101,
Excalibur Toilet Brush,Philippe Starck,(French),(Male),1993,Polypropylene and nylon,Design,Architecture & Design,1/19/00,41.9,
Excalibur Toilet Brush,Philippe Starck,(French),(Male),1993,Polypropylene and nylon,Design,Architecture & Design,1/19/00,41.9,
Excalibur Toilet Brush,Philippe Starck,(French),(Male),1993,Polypropylene and nylon,Design,Architecture & Design,1/19/00,41.9101,
